case_scope,case_id,topology,size_description,method,n_runs,n_ok,n_ok_out_of_3,cache_enabled_mode,rel_error_mean,rel_error_std,RMSE_mean,RMSE_std,NMSE_mean,NMSE_std,NMSE_dB_mean,NMSE_dB_std,contract_time_sec_mean,contract_time_sec_std,emit_time_sec_mean,emit_time_sec_std,total_time_sec_mean,total_time_sec_std,t_contract_ratio_mean,t_contract_ratio_std,num_blocks_mean,num_blocks_std,mean_rank_mean,mean_rank_std,max_rank_mean,max_rank_std,peak_rank_mean,peak_rank_std,num_exact_merges_mean,num_exact_merges_std,num_compressed_merges_mean,num_compressed_merges_std,num_exact_leaves_mean,num_exact_leaves_std,num_compressed_leaves_mean,num_compressed_leaves_std,mean_leaf_residual_ratio_mean,mean_leaf_residual_ratio_std,mean_merge_residual_ratio_mean,mean_merge_residual_ratio_std,cache_requests_mean,cache_requests_std,cache_hits_mean,cache_hits_std,cache_misses_mean,cache_misses_std,cache_hit_rate_mean,cache_hit_rate_std,num_cached_states_mean,num_cached_states_std,num_implicit_merge_sketches_mean,num_implicit_merge_sketches_std,num_explicit_merge_compressions_mean,num_explicit_merge_compressions_std,skipped_small_rank_merges_mean,skipped_small_rank_merges_std,skipped_small_state_merges_mean,skipped_small_state_merges_std,skipped_low_saving_merges_mean,skipped_low_saving_merges_std,delta_rel_error,delta_contract_time,delta_total_time,time_ratio_vs_ASTNC,contract_ratio_vs_ASTNC
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,3,3,3/3,true,0.004077588633579605,0.0004174125459692234,7.527859693600909e-09,2.111622570059887e-09,1.674288468436407e-05,3.36800462152865e-06,-47.822880733364755,0.9024578573269308,0.4424494333319065,0.03098067410712143,0.00014736666526005138,4.2248354245941865e-05,0.44259679999716656,0.030994888098804088,0.9996673055045485,8.846420490776874e-05,9.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.00040294832590257764,5.9488490192791466e-05,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0,13.666666666666666,0.5773502691896257,22.333333333333332,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-blockwise,3,3,3/3,true,0.010639555774353262,0.0007354290074317963,1.9253284999640317e-08,2.596976637928108e-09,0.00011356071855044412,1.5947843467573196e-05,-39.47504331611128,0.5898674875801109,1.063458300000093,0.08658043958766677,7.043333289402653e-05,2.8571539433436034e-06,1.063528733332987,0.08658305514975131,0.999933605804868,3.290922546569252e-06,1.0,0.0,1.0,0.0,16.0,0.0,222.0,1.7320508075688772,3.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0013655766843759303,2.5126745667402165e-06,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006561967140773658,0.6210088666681866,0.6209319333358205,2.4029291068977354,2.403570261106725
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-implicit,3,3,3/3,true,0.0040775886335796254,0.00041741254596923156,7.527859693600949e-09,2.1116225700598993e-09,1.674288468436425e-05,3.3680046215287115e-06,-47.822880733364705,0.9024578573269555,3.083661499999683,0.2757328111040442,0.00015133333226913237,1.692227540616346e-05,3.0838128333319523,0.27573604881566244,0.9999507266906026,6.080171087251624e-06,9.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.00040294798751461144,5.948820769378898e-05,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,2.6412120666677765,2.6412160333347856,6.967544350414857,6.9695229956062645
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-cache,3,3,3/3,false,0.004077588633579605,0.0004174125459692234,7.527859693600909e-09,2.111622570059887e-09,1.674288468436407e-05,3.36800462152865e-06,-47.822880733364755,0.9024578573269308,0.38169793333418056,0.16263138359528434,0.00014933333128889595,4.4757268821136594e-05,0.3818472666654695,0.1626740186133097,0.9995917423067465,6.372677015377755e-05,9.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,36.0,0.0,36.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0003693692987440295,5.453111601005882e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,0.5773502691896257,22.333333333333332,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060751499997725944,-0.06074953333169708,0.862742944973651,0.8626927838053015
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,3,3,3/3,true,0.9789127199918946,0.0017709821614160354,1.7846814046470543e-06,3.3099567418133384e-07,0.9582722119573157,0.0034656074794454446,-0.18513001214798372,0.015721490770748126,0.0655568333343884,0.0019172964893887892,0.00015846666671374501,5.43604924890034e-05,0.06571530000110215,0.0018633243470361183,0.9975717068797489,0.0008971433889819812,9.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,12.0,0.0,54.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9748351313583149,-0.3768925999975181,-0.3768814999960644,0.14847667222520103,0.14816796767193616
extended_optional,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L2,3,3,3/3,true,2.161500731264672e-14,3.010212704854022e-14,7.622940403452554e-20,2.620182262026576e-20,1.071300591147202e-27,1.823554064376334e-27,-280.0424487803155,13.12568328496311,0.05235576666685423,0.030172998662626897,3.1600000511389226e-05,2.6057617088978288e-06,0.05238736666736562,0.03017352366049375,0.9992777978392392,0.0003101197359700649,9.0,0.0,1.0,0.0,16.0,0.0,63.0,31.176914536239792,20.0,13.856406460551018,23.0,3.4641016151377544,12.0,0.0,0.0,0.0,0.0,0.0,1.9781868694325616e-09,4.147734637943115e-10,95.0,34.64101615137755,40.0,17.320508075688775,55.0,17.320508075688775,0.4148148148148148,0.02566001196398334,55.0,17.320508075688775,2.0,1.7320508075688772,21.0,5.196152422706632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
extended_optional,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L2-no-blockwise,3,3,3/3,true,0.0035009290699010405,0.003295675302403161,2.5454076361749423e-08,3.454522180194491e-08,1.9497488358672132e-05,2.166171153775209e-05,-125.54636359572339,138.02827812912773,0.09683746666632942,0.1079290278042423,1.5766666668544833e-05,5.571654338094456e-06,0.09685323333299796,0.10792657594870701,0.9996502435231946,0.00025469839813760853,1.0,0.0,1.0,0.0,16.0,0.0,142.66666666666666,94.50044091607897,2.6666666666666665,0.5773502691896257,4.333333333333333,0.5773502691896257,8.0,0.0,0.0,0.0,0.0,0.0,0.0005819553446796437,0.0005191099573233869,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,1.3333333333333333,1.5275252316519468,3.0,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,0.0,0.0035009290698794254,0.04448169999947519,0.04446586666563234,1.8487898799718077,1.8496045962332548
extended_optional,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L2-no-implicit,3,3,3/3,true,4.573965923561644e-15,1.0557282582667458e-15,4.4093204617932977e-20,3.232011615143753e-20,2.1664205872935986e-29,9.732367933406986e-30,-286.9514444271607,2.0345784976521486,0.06179696666852882,0.03516158097351514,3.413333191322939e-05,2.402776248702084e-06,0.06183110000044204,0.03516392104652398,0.9993401836775166,0.00029309589402052373,9.0,0.0,1.0,0.0,16.0,0.0,63.0,31.176914536239792,20.0,13.856406460551018,23.0,3.4641016151377544,12.0,0.0,0.0,0.0,0.0,0.0,1.522868281740185e-09,2.2173375133065216e-10,95.0,34.64101615137755,40.0,17.320508075688775,55.0,17.320508075688775,0.4148148148148148,0.02566001196398334,55.0,17.320508075688775,0.0,0.0,23.0,3.4641016151377544,0.0,0.0,0.0,0.0,0.0,0.0,-1.704104138908508e-14,0.009441200001674588,0.009443733333076423,1.180267379978069,1.1803277958233336
extended_optional,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L2-no-cache,3,3,3/3,false,2.161500731264672e-14,3.010212704854022e-14,7.622940403452554e-20,2.620182262026576e-20,1.071300591147202e-27,1.823554064376334e-27,-280.0424487803155,13.12568328496311,0.1455511333327498,0.12756312455070123,3.6833334282467454e-05,1.9857807314940686e-06,0.14558796666703225,0.12756480458699,0.9995638289297921,0.0003529053490363592,9.0,0.0,1.0,0.0,16.0,0.0,63.0,31.176914536239792,36.0,0.0,27.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,2.7698555358717167e-09,1.0431754322547554e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.196152422706632,21.0,5.196152422706632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09319536666589556,0.09320059999966662,2.7790663270296685,2.7800401483738826
extended_optional,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",fixed-rank baseline,3,3,3/3,true,0.9283189703797117,0.06371719549640187,9.583172213978422e-06,7.020507445993499e-06,0.8644827035310154,0.11764175219109754,-0.6598325629884922,0.6006582041814481,0.033690299998852424,0.028111146794596732,3.53666667554838e-05,3.1214300641114053e-06,0.03372566666560791,0.028110172988972264,0.9984126722463595,0.0010581081159959785,9.0,0.0,1.0,0.0,4.0,0.0,7.333333333333333,2.8867513459481287,18.0,7.937253933193772,25.0,9.643650760992955,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,34.64101615137755,40.0,17.320508075688775,55.0,17.320508075688775,0.4148148148148148,0.02566001196398334,55.0,17.320508075688775,13.0,4.58257569495584,12.0,5.196152422706632,0.0,0.0,4.0,4.58257569495584,0.0,0.0,0.92831897037969,-0.018665466668001805,-0.01866170000175771,0.6437748031839344,0.6434878551817927
core,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,3,3,3/3,true,0.0018268661464925257,0.003164224984345159,1.039967895241385e-07,1.8012772327957208e-07,1.0012319755912628e-05,1.734184651886629e-05,-206.61649621694983,139.77050439803617,0.053364666665099016,0.0011464600150990322,3.703333216738732e-05,4.04144365075951e-07,0.053401699997266405,0.001146243995367022,0.9993062430213477,1.9908059879010333e-05,9.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.00012771129844972812,0.00022119875582948028,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
core,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-blockwise,3,3,3/3,true,6.011141745544232e-15,1.9267126686504842e-15,2.709714747978618e-19,1.422994579477593e-19,3.860863957934794e-29,2.5220239027962728e-29,-284.6958876172759,2.6187877832368702,0.02904073333350728,0.0018711601351559246,1.4000000343609523e-05,1.6093477555766428e-06,0.02905473333385089,0.001872295655100629,0.9995184352969883,3.949824373755634e-05,1.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,1.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0725312394677995e-09,3.539910290115417e-10,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018268661464865147,-0.024323933331591736,-0.024346966663415515,0.5440788090142857,0.5441940360230937
core,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-implicit,3,3,3/3,true,0.0018268661464925257,0.003164224984345159,1.039967895241385e-07,1.8012772327957208e-07,1.0012319755912628e-05,1.734184651886629e-05,-206.61649621694983,139.77050439803617,0.047862933332453395,0.004629815202943244,3.3499998153274646e-05,3.5156781523365376e-06,0.04789643333060667,0.00463328566381038,0.9993009028024485,1.2214384385582309e-05,9.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.00012771129844972812,0.00022119875582948028,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005501733332645621,-0.005505266666659736,0.8969084005389052,0.8969030694565585
core,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-cache,3,3,3/3,false,0.0018268661464925257,0.003164224984345159,1.039967895241385e-07,1.8012772327957208e-07,1.0012319755912628e-05,1.734184651886629e-05,-206.61649621694983,139.77050439803617,0.058715466667914974,0.0016802021632975194,3.453333586852144e-05,8.504906671119377e-07,0.0587500000037835,0.0016807399862731542,0.9994120500773842,1.3495181424729168e-05,9.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.00012771129844972812,0.00022119875582948028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005350800002815959,0.005348300006517093,1.1001522424715107,1.100268592257795
core,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,3,3,3/3,true,0.8057554395559248,0.027808751690205177,3.5977753429934176e-05,1.4379001892349168e-05,0.6497573798891576,0.04474246255148942,-1.879393367328947,0.30040081834350707,0.024335600000995328,0.0011776407678775237,3.510000169626437e-05,3.7242464584008507e-06,0.024370700002691592,0.0011812808224445398,0.9985622482555696,8.363549318842293e-05,9.0,0.0,1.0,0.0,4.0,0.0,9.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0,27.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.8039285734094322,-0.029029066664103688,-0.029030999994574813,0.45636562139293524,0.45602458558803355
