case_id,case_group,method,n_runs,n_ok,n_ok_out_of_3,contract_time_sec_mean,contract_time_sec_std,emit_time_sec_mean,emit_time_sec_std,total_time_sec_mean,total_time_sec_std,t_contract_ratio_recomputed_mean,t_contract_ratio_recomputed_std,t_emit_ratio_mean,t_emit_ratio_std,contract_speedup_vs_exact_mean,contract_speedup_vs_exact_std,emit_speedup_vs_exact_mean,emit_speedup_vs_exact_std,total_speedup_vs_exact_mean,total_speedup_vs_exact_std,delta_total_mean,delta_total_std,delta_contract_mean,delta_contract_std,delta_emit_mean,delta_emit_std,gain_share_contract_mean,gain_share_contract_std,gain_share_emit_mean,gain_share_emit_std,log10_contract_time_mean,log10_contract_time_std,log10_emit_time_mean,log10_emit_time_std
main_ring_8,core,exact,3,3,3/3,3.007152199998624,0.1122107936297478,6.329999935890858e-05,1.802774734546845e-06,3.007215499997983,0.11221231217820508,0.9999789438623048,4.2427074682323887e-07,2.1056137695211742e-05,4.2427074680352026e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.4779561084758502,0.016068233095969123,-4.198714617908041,0.012439904117744802
main_ring_8,core,fixed-rank baseline,3,3,3/3,0.024335600000995328,0.0011776407678775237,3.510000169626437e-05,3.7242464584008507e-06,0.024370700002691592,0.0011812808224445398,0.9985622482966064,8.363549498163369e-05,0.0014377517033935406,8.363549498165092e-05,123.75924746313571,5.8643761091103395,1.816264223520749,0.18159896060801822,123.5842141725158,5.865310892094684,2.9828447999952914,0.0011812808224445398,2.9828165999976286,0.0011776407678775237,2.8199997662644208e-05,3.7242464584008507e-06,0.9999905462599641,1.2451716683543561e-06,9.453740035878364e-06,1.2451716683647306e-06,-1.6140924233096425,0.02080483673660656,-4.456264626946328,0.04483108751153752
main_ring_8,core,ASTNC-L2,3,3,3/3,0.053364666665099016,0.0011464600150990322,3.703333216738732e-05,4.04144365075951e-07,0.053401699997266405,0.001146243995367022,0.9993062430400665,1.9908059497174897e-05,0.0006937569599334715,1.9908059497195182e-05,56.36840977686272,1.215824235358948,1.7094070448240877,0.018704789599548844,56.330474232427306,1.2139428460855668,2.9538138000007166,0.001146243995367022,2.953787533333525,0.0011464600150990322,2.626666719152126e-05,4.04144365075951e-07,0.999991107521498,1.3872687282979933e-07,8.892478501957084e-06,1.3872687279946962e-07,-1.2728131971851664,0.009349346463546238,-4.431424481199767,0.004745883914499656
main_tree_8,core,exact,3,3,3/3,1.1067673000003804,0.18349281835865908,5.093333372011936e-05,6.8244649277882616e-06,1.1068182333341003,0.18349804812047016,0.9999536717371383,5.256052290600784e-06,4.632826286169853e-05,5.2560522906196596e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.04027301894956161,0.06928083442548202,-4.295654761212058,0.059157674655408485
main_tree_8,core,fixed-rank baseline,3,3,3/3,0.01914746666746699,0.004616312250342988,3.6899999637777604e-05,2.8618163230322473e-06,0.01918436666710477,0.004619172945508292,0.9980152792570685,0.0003818258515949754,0.001984720742931592,0.0003818258515949789,60.526060016311305,16.947133524805913,1.386122921930036,0.11248438862670664,60.404398662151245,16.887432560172826,1.0876338666669956,0.004619172945508292,1.0876198333329135,0.004616312250342988,1.4033334082341751e-05,2.8618163230322473e-06,0.9999871046471619,2.5702385458809066e-06,1.2895352838254386e-05,2.5702385458372797e-06,-1.727386857804722,0.11446651099892598,-4.433872847864628,0.034498710427434166
main_tree_8,core,ASTNC-L2,3,3,3/3,0.022348466666395932,0.004069298255413053,3.196666754471759e-05,4.637168675884471e-06,0.022380433333940648,0.004070887196774012,0.9985456042682023,0.0003065587968316663,0.0014543957317977101,0.00030655879683169277,50.648108158728334,9.318575591881823,1.6172271790194277,0.2476949129550224,50.57530130832889,9.292121659329897,1.0844378000001598,0.004070887196774012,1.0844188333339844,0.004069298255413053,1.8966666175401766e-05,4.637168675884471e-06,0.9999825136694084,4.259325557024736e-06,1.7486330591787017e-05,4.259325557045572e-06,-1.6556125940184168,0.07982752985250134,-4.498477081409701,0.06496354008496773
main_grid2d_3x3,core,exact,3,3,3/3,37.19936439999947,4.254726641566867,0.00015476666764395,3.078803633119023e-05,37.19951916666711,4.254753503246232,0.9999958594362368,4.5821820374026617e-07,4.140563763189084e-06,4.582182037533612e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.5685462093866724,0.051521518490840884,-3.8161000706350925,0.0869444307040295
main_grid2d_3x3,core,fixed-rank baseline,3,3,3/3,0.0655568333343884,0.0019172964893887892,0.00015846666671374501,5.43604924890034e-05,0.06571530000110215,0.0018633243470361183,0.9975717068949371,0.0008971433885653555,0.002428293105062892,0.000897143388565387,567.7623082578472,16.693328531774412,1.0645940840552393,0.391818835874555,566.3760457100315,16.144541258165894,37.13380386666601,0.0018633243470361183,37.13380756666508,0.0019172964893887892,-3.6999990697950214e-06,5.43604924890034e-05,1.0000000995910352,1.463900934297069e-06,-9.959103508138366e-08,1.4639009342604735e-06,-1.1835063153096403,0.012736728891448298,-3.8183364504415755,0.15702501281522468
main_grid2d_3x3,core,ASTNC-L2,3,3,3/3,0.4424494333319065,0.03098067410712143,0.00014736666526005138,4.2248354245941865e-05,0.44259679999716656,0.030994888098804088,0.9996673055068147,8.846420491238587e-05,0.00033269449318531845,8.846420491239048e-05,84.35649348481849,6.013509837645243,1.1144885625434555,0.34056866885899023,84.32878868069326,6.0114700468968705,36.75692236666994,0.030994888098804088,36.75691496666756,0.03098067410712143,7.400002383898624e-06,4.2248354245941865e-05,0.9999997988952289,1.1498360758131803e-06,2.0110477105451545e-07,1.1498360758076587e-06,-0.3548553544254589,0.030704979512185704,-3.8442213258639235,0.13011788286671302
main_random_8,core,exact,3,3,3/3,0.7325429666664908,0.4783351661371598,3.823333402882175e-05,4.027820982630686e-06,0.7325812000005195,0.4783358057006,0.9999241019416238,6.111801372120147e-05,7.589805837610432e-05,6.111801372123048e-05,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.20990807262577807,0.32777502249952234,-4.41923711346229,0.04728107146208781
main_random_8,core,fixed-rank baseline,3,3,3/3,0.033690299998852424,0.028111146794596732,3.53666667554838e-05,3.1214300641114053e-06,0.03372566666560791,0.028110172988972264,0.9984126722902884,0.0010581080895976035,0.0015873277097116316,0.0010581080895976478,32.30963808230299,19.67855146072164,1.0865399824353172,0.0932913612340741,32.24630517256672,19.618323595883936,0.6988555333349116,0.028110172988972264,0.6988526666676383,0.028111146794596732,2.866667273337955e-06,3.1214300641114053e-06,0.999995856080055,4.426951932148392e-06,4.14391994507526e-06,4.4269519321821255e-06,-1.5680565830931734,0.3432240504592652,-4.452514805667483,0.037849182794011955
main_random_8,core,ASTNC-L2,3,3,3/3,0.05235576666685423,0.030172998662626897,3.1600000511389226e-05,2.6057617088978288e-06,0.05238736666736562,0.03017352366049375,0.9992777978622964,0.0003101197256761162,0.0007222021377035584,0.00031011972567608154,16.91793613081159,7.75338706797826,1.2154903010805458,0.10151440518914773,16.905037267699427,7.744092307833843,0.6801938333331539,0.03017352366049375,0.6801871999996365,0.030172998662626897,6.6333335174325255e-06,2.6057617088978288e-06,0.999990257037945,3.6761633792533237e-06,9.74296205513685e-06,3.676163379272453e-06,-1.3255139322527205,0.23458123124249744,-4.501306878149956,0.036073485426288195
main_chain_8,optional_reference,exact,3,3,3/3,0.985051100000419,0.05138096214351933,4.8066666446781405e-05,4.041454902808449e-07,0.9850991666668657,0.051381355703993846,0.999951130788005,2.176186001828361e-06,4.886921199502903e-05,2.1761860017865204e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.006937667573965719,0.022763337511765593,-4.318166216996111,0.003647956331886732
main_chain_8,optional_reference,fixed-rank baseline,3,3,3/3,0.014544333333712226,0.0026531198761440135,4.703333312742567e-05,2.8816027596675054e-05,0.014591366666839653,0.002681264915793768,0.9969277042914907,0.0012914243964628604,0.003072295708509279,0.001291424396462874,69.14276772175656,11.661771929218592,1.2540339187031448,0.5684901339658724,68.94307316390615,11.701908106094491,0.970507800000026,0.002681264915793768,0.9705067666667068,0.0026531198761440135,1.0333333193557314e-06,2.8816027596675054e-05,0.999998988768874,2.9735854324977663e-05,1.0112311260414938e-06,2.9735854324954865e-05,-1.8419148048469312,0.07659169045500507,-4.376568841211979,0.24375023188438535
main_chain_8,optional_reference,ASTNC-L2,3,3,3/3,0.021552566666893352,0.0005634586241460631,3.4733333450276405e-05,2.059937331295714e-06,0.021587300000343628,0.0005654187565691861,0.9983918702455039,5.671990476413952e-05,0.0016081297544961388,5.671990476414296e-05,45.72512696918314,1.178666010432476,1.3871011827023978,0.08158701904555374,45.65386059030427,1.179012585802426,0.9635118666665221,0.0005654187565691861,0.9634985333335256,0.0005634586241460631,1.3333332996505e-05,2.059937331295714e-06,0.9999861625276043,2.130630738089212e-06,1.3837472395752488e-05,2.130630738061022e-06,-1.6665990402333013,0.011275659559665457,-4.459760231216896,0.025662056897928144
