case_group,case_id,topology,size_description,method,n_runs,n_ok,ok_rate,rel_error_mean,rel_error_std,RMSE_mean,RMSE_std,NMSE_mean,NMSE_std,NMSE_dB_mean,NMSE_dB_std,contract_time_sec_mean,contract_time_sec_std,emit_time_sec_mean,emit_time_sec_std,total_time_sec_mean,total_time_sec_std,speedup_vs_exact_mean,speedup_vs_exact_std,t_contract_ratio_mean,t_contract_ratio_std,num_blocks_mean,num_blocks_std,refined_blocks_mean,refined_blocks_std,mean_rank_mean,mean_rank_std,max_rank_mean,max_rank_std,peak_rank_mean,peak_rank_std,num_exact_merges_mean,num_exact_merges_std,num_compressed_merges_mean,num_compressed_merges_std,num_exact_leaves_mean,num_exact_leaves_std,num_compressed_leaves_mean,num_compressed_leaves_std,mean_leaf_residual_ratio_mean,mean_leaf_residual_ratio_std,mean_merge_residual_ratio_mean,mean_merge_residual_ratio_std,cache_requests_mean,cache_requests_std,cache_hits_mean,cache_hits_std,cache_misses_mean,cache_misses_std,cache_hit_rate_mean,cache_hit_rate_std,num_cached_states_mean,num_cached_states_std,speedup_vs_exact_report
main_core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,3,3,1.0,0.004077588633579605,0.0004174125459692234,7.527859693600909e-09,2.111622570059887e-09,1.674288468436407e-05,3.36800462152865e-06,-47.822880733364755,0.9024578573269308,0.4424494333319065,0.03098067410712143,0.00014736666526005138,4.2248354245941865e-05,0.44259679999716656,0.030994888098804088,73.67152678332194,3.8960130448560353,0.9996673055045485,8.846420490776874e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.00040294832590257764,5.9488490192791466e-05,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0,84.04832381731015
main_core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",exact,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,37.19936439999947,4.254726641566867,0.00015476666764395,3.078803633119023e-05,37.19951916666711,4.254753503246232,0.9818020887229874,0.05418857550179087,0.9999958594362096,4.582182018598198e-07,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
main_core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,3,3,1.0,0.9789127199918946,0.0017709821614160354,1.7846814046470543e-06,3.3099567418133384e-07,0.9582722119573157,0.0034656074794454446,-0.18513001214798372,0.015721490770748126,0.0655568333343884,0.0019172964893887892,0.00015846666671374501,5.43604924890034e-05,0.06571530000110215,0.0018633243470361183,498.07283097631625,12.283712549420391,0.9975717068797489,0.0008971433889819812,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,12.0,0.0,54.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0,566.0709023019482
main_core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L2,3,3,1.0,2.161500731264672e-14,3.010212704854022e-14,7.622940403452554e-20,2.620182262026576e-20,1.071300591147202e-27,1.823554064376334e-27,-280.0424487803155,13.12568328496311,0.05235576666685423,0.030172998662626897,3.1600000511389226e-05,2.6057617088978288e-06,0.05238736666736562,0.03017352366049375,14.148031514214827,6.07329095590712,0.9992777978392392,0.0003101197359700649,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,63.0,31.176914536239792,20.0,13.856406460551018,23.0,3.4641016151377544,12.0,0.0,0.0,0.0,0.0,0.0,1.9781868694325616e-09,4.147734637943115e-10,95.0,34.64101615137755,40.0,17.320508075688775,55.0,17.320508075688775,0.4148148148148148,0.02566001196398334,55.0,17.320508075688775,13.983928695100385
main_core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",exact,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.7325429666664908,0.4783351661371598,3.823333402882175e-05,4.027820982630686e-06,0.7325812000005195,0.4783358057006,1.0007210084012654,0.020557548376987526,0.9999241019396619,6.111801519304574e-05,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
main_core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",fixed-rank baseline,3,3,1.0,0.9283189703797117,0.06371719549640187,9.583172213978422e-06,7.020507445993499e-06,0.8644827035310154,0.11764175219109754,-0.6598325629884922,0.6006582041814481,0.033690299998852424,0.028111146794596732,3.53666667554838e-05,3.1214300641114053e-06,0.03372566666560791,0.028110172988972264,28.630641597528108,23.290809967355223,0.9984126722463595,0.0010581081159959785,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.333333333333333,2.8867513459481287,18.0,7.937253933193772,25.0,9.643650760992955,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,34.64101615137755,40.0,17.320508075688775,55.0,17.320508075688775,0.4148148148148148,0.02566001196398334,55.0,17.320508075688775,21.721770758873586
main_core,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,3,3,1.0,0.0018268661464925257,0.003164224984345159,1.039967895241385e-07,1.8012772327957208e-07,1.0012319755912628e-05,1.734184651886629e-05,-206.61649621694983,139.77050439803617,0.053364666665099016,0.0011464600150990322,3.703333216738732e-05,4.04144365075951e-07,0.053401699997266405,0.001146243995367022,35.78309738328101,0.7793704146003503,0.9993062430213477,1.9908059879010333e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.00012771129844972812,0.00022119875582948028,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0,56.313104267315836
main_core,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",exact,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.007152199998624,0.1122107936297478,6.329999935890858e-05,1.802774734546845e-06,3.007215499997983,0.11221231217820508,0.6467578195101872,0.019888710711103902,0.999978943861972,4.242707545067616e-07,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
main_core,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,3,3,1.0,0.8057554395559248,0.027808751690205177,3.5977753429934176e-05,1.4379001892349168e-05,0.6497573798891576,0.04474246255148942,-1.879393367328947,0.30040081834350707,0.024335600000995328,0.0011776407678775237,3.510000169626437e-05,3.7242464584008507e-06,0.024370700002691592,0.0011812808224445398,79.06352279657756,2.6371936773472577,0.9985622482555696,8.363549318842293e-05,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,9.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0,123.39471166876022
main_core,main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,3,3,1.0,0.00481019892737043,0.006255308835054792,2.603805781291864e-07,2.689735348185255e-07,4.922393949507713e-05,7.969816932085804e-05,-126.69629044826351,141.33521419227904,0.022348466666395932,0.004069298255413053,3.196666754471759e-05,4.637168675884471e-06,0.022380433333940648,0.004070887196774012,50.00434059592865,16.366329852996802,0.9985456042225759,0.00030655880328872364,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,14.666666666666666,2.309401076758503,18.0,3.605551275463989,35.0,3.605551275463989,12.0,0.0,0.0,0.0,0.0,0.0,0.0002220058061825901,0.00027738205238601735,115.0,13.856406460551018,50.0,6.928203230275509,65.0,6.928203230275509,0.4340970682434097,0.008534372050105326,65.0,6.928203230275509,49.4547275657784
main_core,main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",exact,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.1067673000003804,0.18349281835865908,5.093333372011936e-05,6.8244649277882616e-06,1.1068182333341003,0.18349804812047016,0.9777768909462168,0.029202140865225767,0.9999536717362194,5.256052368459236e-06,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
main_core,main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,3,3,1.0,0.6524278703147116,0.01792871158088764,5.392443869210571e-05,2.2196662155033304e-05,0.4258764185746547,0.023526010298194955,-3.7115207405106303,0.23741196463940267,0.01914746666746699,0.004616312250342988,3.6899999637777604e-05,2.8618163230322473e-06,0.01918436666710477,0.004619172945508292,60.22505526918085,25.5049367930274,0.9980152792026058,0.00038182586679747714,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.333333333333333,2.8867513459481287,16.0,4.58257569495584,37.0,7.54983443527075,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,13.856406460551018,50.0,6.928203230275509,65.0,6.928203230275509,0.4340970682434097,0.008534372050105326,65.0,6.928203230275509,57.69375932706446
optional_reference,main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,3,3,1.0,2.5704367386803203e-15,2.531295056154657e-16,1.9657171328810904e-19,9.635627366004483e-20,6.64986139514177e-30,1.3357351201769858e-30,-291.82707859293686,0.8354278497044154,0.021552566666893352,0.0005634586241460631,3.4733333450276405e-05,2.059937331295714e-06,0.021587300000343628,0.0005654187565691861,46.14091880537185,2.3579619288020606,0.998391870199234,5.671990374368783e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,4.0,0.0,18.0,0.0,45.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0,45.633273575258826
optional_reference,main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",exact,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.985051100000419,0.05138096214351933,4.8066666446781405e-05,4.041454902808449e-07,0.9850991666668657,0.051381355703993846,0.9734550063932923,0.04866624481677123,0.999951130786988,2.1761860552054605e-06,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
optional_reference,main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,3,3,1.0,2.904314390342656e-15,8.806451495192618e-16,2.057970424647167e-19,8.01428876745498e-20,8.952066002628392e-30,5.501319103751243e-30,-290.98940755751954,2.5106862844834494,0.014544333333712226,0.0026531198761440135,4.703333312742567e-05,2.8816027596675054e-05,0.014591366666839653,0.002681264915793768,68.6115999159747,8.429365943423619,0.9969277042217103,0.0012914243853207605,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,9.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0,67.51246741716132
