tier,case_id,topology,size_description,method,n_runs,n_ok,ok_rate,rel_error_mean,rel_error_std,RMSE_mean,RMSE_std,NMSE_mean,NMSE_std,NMSE_dB_mean,NMSE_dB_std,contract_time_sec_mean,contract_time_sec_std,emit_time_sec_mean,emit_time_sec_std,total_time_sec_mean,total_time_sec_std,speedup_vs_exact_mean,speedup_vs_exact_std,t_contract_ratio_mean,t_contract_ratio_std,num_blocks_mean,num_blocks_std,refined_blocks_mean,refined_blocks_std,mean_rank_mean,mean_rank_std,max_rank_mean,max_rank_std,peak_rank_mean,peak_rank_std,num_exact_merges_mean,num_exact_merges_std,num_compressed_merges_mean,num_compressed_merges_std,num_exact_leaves_mean,num_exact_leaves_std,num_compressed_leaves_mean,num_compressed_leaves_std,mean_leaf_residual_ratio_mean,mean_leaf_residual_ratio_std,mean_merge_residual_ratio_mean,mean_merge_residual_ratio_std,cache_requests_mean,cache_requests_std,cache_hits_mean,cache_hits_std,cache_misses_mean,cache_misses_std,cache_hit_rate_mean,cache_hit_rate_std,num_cached_states_mean,num_cached_states_std
ablation_probe,ablate_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,1,1,1.0,0.004461158998039453,0.0,9.539491641350845e-09,0.0,1.9901939738467393e-05,0.0,-47.011045931049495,0.0,0.4527498999987074,0.0,0.0001551000004837988,0.0,0.4529049999991912,0.0,69.5561967741293,0.0,0.9996575440732963,0.0,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.00047029083613557234,0.0,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0
ablation_probe,ablate_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-blockwise,1,1,1.0,0.010290543385193982,0.0,2.2004719547354733e-08,0.0,0.00010589528386852508,0.0,-39.751233811152126,0.0,0.9651024000004327,0.0,6.77000002724526e-05,0.0,0.9651701000007051,0.0,11.524322293013677,0.0,0.9999298569223474,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,223.0,0.0,3.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0013626767873963549,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0
ablation_probe,ablate_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-cache,1,1,1.0,0.004461158998039453,0.0,9.539491641350845e-09,0.0,1.9901939738467393e-05,0.0,-47.011045931049495,0.0,0.21301020000009885,0.0,9.820000059335143e-05,0.0,0.2131084000006922,0.0,147.2273669163286,0.0,0.9995392016382622,0.0,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,36.0,0.0,36.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0004310999331242746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_probe,ablate_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-implicit,1,1,1.0,0.00446115899803946,0.0,9.539491641350858e-09,0.0,1.990193973846745e-05,0.0,-47.01104593104947,0.0,2.77147819999891,0.0,0.00014390000023922767,0.0,2.771622099999149,0.0,11.626345705642123,0.0,0.9999480809446427,0.0,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0004702902284434588,0.0,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0
ablation_probe,ablate_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,1,1,1.0,4.273663529339475e-15,0.0,2.1541594773098242e-19,0.0,1.8264199970953154e-29,0.0,-287.38399346491207,0.0,0.04836419999901409,0.0,3.0900000183464726e-05,0.0,0.048395099999197555,0.0,33.75055739098781,0.0,0.999361505582521,0.0,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.6375446901360654e-09,0.0,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0
ablation_probe,ablate_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-blockwise,1,1,1.0,8.2249650560152e-15,0.0,4.1458309256965985e-19,0.0,6.765005020580983e-29,0.0,-281.6973187675892,0.0,0.029069000000163214,0.0,1.2699999842880061e-05,0.0,0.029081700000006094,0.0,15.58266538697574,0.0,0.999563299227953,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,1.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.69861268983621e-09,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0
ablation_probe,ablate_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-cache,1,1,1.0,4.273663529339475e-15,0.0,2.1541594773098242e-19,0.0,1.8264199970953154e-29,0.0,-287.38399346491207,0.0,0.056775599999127735,0.0,3.390000074432464e-05,0.0,0.05680949999987206,0.0,29.49206382688782,0.0,0.9994032687887799,0.0,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,2.6375446901360654e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_probe,ablate_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2-no-implicit,1,1,1.0,4.273663529339475e-15,0.0,2.1541594773098242e-19,0.0,1.8264199970953154e-29,0.0,-287.38399346491207,0.0,0.042517199999110744,0.0,2.9499999527615728e-05,0.0,0.04254669999863836,0.0,40.432806775026414,0.0,0.9993066442161703,0.0,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.6375446901360654e-09,0.0,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0
main,main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,2,2,1.0,2.6269461071738444e-15,3.3013518573614494e-16,1.639913083040384e-19,1.104543625835692e-19,6.955340474489582e-30,1.7344946857898792e-30,-291.64540824342953,1.094465480854822,0.017557199999714612,0.0011866666001977574,3.1399999784298416e-05,9.899497966389731e-07,0.01758859999949891,0.0011876565499943964,50.67632237088446,3.5134124893681924,0.9982125780526568,6.441067433989168e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,4.0,0.0,18.0,0.0,45.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0
main,main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",exact,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.8771842499998002,0.002948281724149572,4.524999997101986e-05,3.5355334950627033e-07,0.8772294999997712,0.002948635277499078,1.0090899809425875,0.006646761763518523,0.9999484175322485,2.296496701870778e-07,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,2,2,1.0,3.0734696068313373e-15,1.1744747060501601e-15,1.720467131588323e-19,7.753229340150583e-20,1.0135910848572191e-29,7.219424634068187e-30,-290.57668455499174,3.403681767923245,0.013073200000008,5.091168683067202e-06,3.0150000043249747e-05,3.5355334950627033e-07,0.01310335000005125,5.444722032573473e-06,67.52170366984306,0.30640562993109227,0.9976990670180406,2.6025818510240582e-05,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,9.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0
main,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L1,2,2,1.0,2.2323310601799073e-14,5.090674266113348e-15,4.144752735161929e-20,1.977731720447674e-20,5.112876824098715e-28,2.2728140638856356e-28,-273.13924638331173,1.9981967994442629,0.1935481500000833,0.006200548653189812,9.195000029649236e-05,3.5567470851145515e-05,0.1936401000003798,0.006236116124040958,117.2224828630458,0.9457662273859457,0.9995278628132473,0.0001684732063650341,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.647362696562443e-09,1.8867690942894803e-10,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0
main,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,2,2,1.0,0.0040471002874813014,0.0005855674440900541,7.434120264035109e-09,2.977444755632036e-09,1.655046548320148e-05,4.739700345741321e-06,-47.90281926437518,1.2611579425518453,0.28017285000032643,0.11550935752993093,0.00014310000005934853,6.095260433615663e-05,0.2803159500003858,0.11557031013426708,100.1022534317548,12.952752608030284,0.9994910754361778,7.620096752450019e-06,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0004139183716044139,7.972270388436058e-05,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0
main,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L3,2,2,1.0,0.018059317306193826,0.000910894820514269,3.233644137612346e-08,6.934285942766398e-09,0.0003265538089637438,3.290027816687714e-05,-34.87150134502346,0.4382939437236365,0.39638415000013083,0.08070966297970601,0.00013440000032005628,5.68513854497284e-05,0.3965185500004509,0.08076651436515574,80.12014500416613,12.37920756856003,0.9996687809887757,7.591064887518286e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.002725899275647651,0.00037136000650198514,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0
main,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",exact,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33.08458310000003,0.14313722155259387,0.00011504999997669074,2.8354981749485753e-05,33.08469815000001,0.14310886657084437,0.9543336812448121,0.008158521235080266,0.9999965206754339,8.720921017111632e-07,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,2,2,1.0,0.979926045048616,0.00033434953062588504,1.766440037670159e-06,4.659611441294186e-07,0.9602551175259999,0.0006552735591059238,-0.17613420212426448,0.0029636052726961714,0.06256759999996575,0.00035129064877828503,0.00017459999980928842,1.8384774817435929e-06,0.06274219999977504,0.0003531291262600286,504.0476829426427,8.080801092835948,0.9972172223402543,1.3639904851572463e-05,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,12.0,0.0,54.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L1,2,2,1.0,5.8532621541332876e-15,3.277740874630529e-15,9.084328201860468e-20,6.058243019997354e-20,3.963247052736751e-29,3.8370953280236865e-29,-285.392692158352,5.145149002828525,0.03528215000028467,0.0037938400137390665,3.199999980552093e-05,1.8384776425210606e-06,0.035314150000090194,0.003795678491381587,14.832819263857491,7.560464148794062,0.9990913970683984,4.559891607518196e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,54.0,38.18376618407357,24.0,16.97056274847714,24.0,4.242640687119285,12.0,0.0,0.0,0.0,0.0,0.0,1.8508891189360904e-09,1.0265636163488975e-10,105.0,42.42640687119285,45.0,21.213203435596427,60.0,21.213203435596427,0.4222222222222222,0.03142696805273541,60.0,21.213203435596427
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L2,2,2,1.0,4.240299836890253e-15,9.966676899886941e-16,6.445435408881987e-20,2.326285042518569e-20,1.8476815978683628e-29,8.452339696608062e-30,-287.57372379913994,2.060704476461402,0.03477410000027703,0.003144221013179881,3.1950000220604124e-05,1.3435021814804368e-06,0.034806050000497635,0.0031455645153613612,15.178272808946641,8.551233084019618,0.9990800434464285,4.454054709003495e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,54.0,38.18376618407357,24.0,16.97056274847714,24.0,4.242640687119285,12.0,0.0,0.0,0.0,0.0,0.0,1.7397536524264734e-09,5.4512922363671915e-11,105.0,42.42640687119285,45.0,21.213203435596427,60.0,21.213203435596427,0.4222222222222222,0.03142696805273541,60.0,21.213203435596427
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L3,2,2,1.0,0.018973764115516416,0.02079847377443605,3.0448398313316145e-07,3.486703154376322e-07,0.0005762919812567677,0.000789250671904965,-38.424964826643524,12.689083476181656,0.0346092500000168,0.003071601147023798,3.350000008595089e-05,1.979898789390607e-06,0.03464275000010275,0.0030735810458131885,15.318922019432877,8.108694066504244,0.9990317109836183,2.87568388248555e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,53.0,36.76955262170047,21.0,19.79898987322333,27.0,1.4142135623730951,12.0,0.0,0.0,0.0,0.0,0.0,0.0021247930495435154,0.0026924087612644446,105.0,42.42640687119285,45.0,21.213203435596427,60.0,21.213203435596427,0.4222222222222222,0.03142696805273541,60.0,21.213203435596427
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",exact,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5596092500002214,0.34382494478709863,4.409999996823899e-05,8.202439380631136e-06,0.5596533500001897,0.34381674234771803,0.9950006274854486,0.02894294438026049,0.9998973236001055,7.773437737531506e-05,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",fixed-rank baseline,2,2,1.0,0.898413444449647,0.052475890815980905,1.3500136356678381e-05,2.5533117763635873e-06,0.8085235780612992,0.09429009161714984,-0.9378898209094666,0.5076273479687403,0.017389099999945756,0.0042702178514959985,3.129999993234378e-05,1.5556347056720958e-06,0.0174203999998781,0.0042686622167903265,34.31325715824164,27.196771298075674,0.9981363652477053,0.0005459611695605111,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,9.0,0.0,21.0,8.48528137423857,27.0,12.727922061357855,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,42.42640687119285,45.0,21.213203435596427,60.0,21.213203435596427,0.4222222222222222,0.03142696805273541,60.0,21.213203435596427
